part_name,part_category,make,model,generation,year_from,year_to,tier,brand,part_number,price_lkr
Mass Air Flow Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-4318-OEM,36000
Mass Air Flow Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-4318-CER,20000
Mass Air Flow Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-4318-ECO,10800
Oxygen Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0596-OEM,21000
Oxygen Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-0596-CER,11700
Oxygen Sensor,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-0596-ECO,6300
Throttle Body,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-0888-OEM,43500
Throttle Body,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-0888-CER,24500
Throttle Body,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-0888-ECO,13100
Ignition Coil,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-7213-OEM,13300
Ignition Coil,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-7213-CER,7400
Ignition Coil,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-7213-ECO,4000
Spark Plug,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9686-OEM,3050
Spark Plug,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bosch,NHP10-9686-CER,1700
Spark Plug,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-9686-ECO,900
Air Filter,engine_management,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-4507-OEM,4550
Air Filter,engine_management,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Bosch,NHP10-4507-CER,2550
Air Filter,engine_management,Toyota,Aqua,NHP10,2011,2021,Economy,Generic Import,NHP10-4507-ECO,1350
Fuel Filter,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-9796-OEM,7100
Fuel Filter,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Denso,NHP10-9796-CER,4000
Fuel Filter,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-9796-ECO,2150
Fuel Pump,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5743-OEM,40000
Fuel Pump,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Delphi,NHP10-5743-CER,22500
Fuel Pump,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Economy,Taiwan Aftermarket,NHP10-5743-ECO,12000
Fuel Injector,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5720-OEM,18000
Fuel Injector,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Delphi,NHP10-5720-CER,10100
Fuel Injector,fuel_delivery,Toyota,Aqua,NHP10,2011,2021,Economy,Reconditioned (Japan),NHP10-5720-ECO,5400
Water Pump,cooling,Toyota,Aqua,NHP10,2011,2021,OEM_Genuine,Toyota Genuine,NHP10-5988-OEM,24500
Water Pump,cooling,Toyota,Aqua,NHP10,2011,2021,Certified_Aftermarket,Gates,NHP10-5988-CER,13800
